,post,targetStereotype,targetMinority
3499,"What's the size of a priest's bed? Come on, every kid should know this.","[""children are targets of pedos"", ""children are targets of priests"", ""kids have been in priests beds."", ""priest molest kids"", ""priests like kids"", ""they are predators""]","[""Catholic"", ""children"", ""christian folks""]"
3500,"What's the worst part about being a black Jew? You have to sit at the back, of the oven","[""black people are a waste"", ""black people are inferior"", ""blacks are target of hate crimes"", ""blacks are unwanted"", ""deserve to be made fun of"", ""jews burned in the holocaust"", ""jews deserved to be burned"", ""jews should be cleansed of the earth"", ""jews were target in holocaust"", ""were victims""]","[""black folks"", ""jewish folks""]"
3501,What's the worst part about being black and Jewish? You have to count all the money you steal/you have to sit in the back of the oven,"[""black folks are all thieves"", ""black folks are thieves"", ""black folks should be segregated from white folks"", ""black folks should still be segregated"", ""blacks are criminals"", ""blacks are thieves"", ""blacks sit in the back"", ""holocaust is funny"", ""jewish folks are greedy"", ""jewish folks are money hungry"", ""jewish folks are obsessed with money over everything else"", ""jewish folks deserved the holocaust"", ""jewish folks only care about money"", ""jews love money"", ""trivializes harm to victims.""]","[""Holocaust victims"", ""black folks"", ""jewish folks""]"
3502,What's the worst part about having sex with some one with downs syndrome? You're fucking retarded.,"[""down syndrome people are worthless"", ""down syndrome people can't live full lives"", ""marginalized their illness"", ""mentally disabled people are less valuable to society"", ""mentally disabled people are not smart"", ""they are lesser humans""]","[""folks with mental illness/disorder"", ""mentally disabled folks""]"
3508,What's worse than being involved in a mass shooting? Having to endure a country music festival beforehand.,"[""mass shootings are not taken seriously"", ""trivializes harm to victims""]","[""mass shooting victims""]"
3509,What's worse than raping Helen Keller? Breaking her fingers so she can't tell anybody.,"[""physically disabled people are a burden on society"", ""physically disabled people aren't capable""]","[""physically disabled folks""]"
3512,Whats a word that begins with N ends in R and you should never call a black person? Neighbor,"[""black people are not welcomed"", ""black people should go away"", ""blacks are undesirable"", ""blacks do not make good neighbors""]","[""black folks""]"
3513,Whats black and sits at the top of the stairs? A paraplegic after a house fire.,"[""can't leave a house when it's on fire"", ""can't move"", ""the disabled are worthless"", ""the disabled can't care for themselves""]","[""physically disabled folks""]"
3514,Whats faster than a black man running away with a stolen TV? His brother with the playstation.,"[""black people are thieves"", ""black people can run fast"", ""black people like to steal"", ""they run fast when in trouble"", ""they steal things""]","[""black folks""]"
3515,Whats green and hangs in my back garden? Its MY nigger and I'll paint it whatever colour I want to!,"[""black folks are property"", ""black folks can/should be hanged"", ""black people should be kept as slaves"", ""black people should be lynched"", ""black people were called niggers"", ""nigger is a derogatory term for black people""]","[""black folks""]"
3516,"Whats red, 6 inches and makes my girlfriend cry when I feed it to her? Her miscarriage","[""makes light of abortion"", ""women should accept abortion jokes"", ""women should be controlled by men""]","[""abortion"", ""women""]"
3517,"Whats the BEST part about being a black jew? If you cant haggle a good deal, you can  steal the item anyways","[""are cheap"", ""are criminals"", ""are subhuman"", ""black folks are criminals"", ""black folks steal everything"", ""haggle"", ""jewish folks are cheap"", ""jewish folks negotiate price on everything"", ""like to get things for cheap"", ""will steal things""]","[""black folks"", ""jewish folks""]"
3518,Whats the best part of an ISIS joke? The Execution,"[""blows up things"", ""terrorists""]","[""muslim folks, arabic folks""]"
3520,Whats the difference betweeen a feminist and a piece of shit? I don’t know.,"[""feminists are just trying to control men"", ""feminists are pieces of feces"", ""feminists are terrible people"", ""feminists aren't intelligent""]","[""feminists""]"
3522,Whats the difference between a Nigger and a Jew? Nothing. They're both thieving bastards,"[""are thieves"", ""black people are criminals"", ""black people are lazy"", ""black people are no good."", ""jew hoard money"", ""jewish people are thieves"", ""jewish people steal"", ""jews only care about money""]","[""black folks"", ""jewish folks""]"
3523,Whats the difference between a blonde and an elevator? You dont even have to press a button for her to open up.,"[""blondes are easy"", ""blondes are stupid"", ""loose morals"", ""promiscous""]","[""blonde"", ""blondes""]"
3524,Whats the difference between a painting of Jesus and Jesus himself? You only need one nail for the painting.,"[""christians are delusional."", ""christians can be self righteous."", ""mocks christianity""]","[""christian folks""]"
3525,Whats the difference between a ton of coal and a thousand jews? Jews burn longer,"[""deserve to burn"", ""jewish folks are used for burning."", ""jewish people are only good for burning."", ""jews burned in the holocaust"", ""jews were target in holocaust"", ""should be burned alive""]","[""jewish folks""]"
3526,Whats the difference between a tweaker and a black person? The tweaker started out as a good person,"[""black people are a waste"", ""black people are criminals"", ""black people are not good people"", ""black people aren't as good as whites"", ""black people destroy everything"", ""racism is funny""]","[""black folks""]"
3527,"Whats the difference between a white bank and a black bank? Whites use Fifth Third, Blacks use Three Fifths","[""black folks are"", ""black folks are less human"", ""black folks are not worthy of equality"", ""black people are property"", ""black people are worthless""]","[""black folks""]"
3529,Whats the difference between hockey player and a women hippie A hockey player showers after 3 periods,"[""hippies don't bathe"", ""hippies have bad personal hygiene"", ""women are disgusting"", ""women aren't clean because of their periods"", ""women get bitchy when they have a period"", ""women have periods which are dirty/nasty""]","[""hippies"", ""women""]"
3530,Whats the first sign of AIDS? A rhythmic pounding sensation in your ass,"[""contracts aids"", ""gay men all have aids"", ""gay men are dirty"", ""gay men are promiscuous."", ""gay men spread aids."", ""should get aids""]","[""gay men""]"
3531,Whats the hardest bit about eating a vegtable? The wheelchair,"[""disabled people are called vegetables"", ""disabled people end up in wheelchairs often"", ""physically disabled folks are less than human"", ""physically disabled folks are unable to take are of themselves"", ""trivializes their struggle""]","[""physically disabled folks"", ""physically disabled folks, mentally disabled folks""]"
3532,Whats the hardest part of the vegetable to eat? The wheelchair,"[""calling vegetable."", ""crippleds are called vegetables"", ""crippleds are in wheelchairs"", ""not matter because of disability."", ""physically disabled are not capable"", ""the disabled are like vegetables""]","[""physically disabled folks"", ""physically disabled folks, mentally disabled folks""]"
