headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
Frontline doctor talks about the state of COVID-19 in the U.S.,"['medical professionals have news about the state of the pandemic', 'professionals talk about what they are seeing up close']",['feel interested'],['know the latest news'],3.0,real,real,2020-12-30,cbsnews,covid
Minister says most vulnerable people should receive Covid vaccine by Spring,"['virus protection is coming soon', 'government officials are keeping citizens informed']",['feel relief'],['know when they can get a shot'],4.0,real,real,2020-12-30,channel4uk,covid
Louisiana Congressman-Elect Luke Letlow Dead at 41 After COVID Infection,['corona virus is dangerous to politicians too'],['feel mournful'],['send their sympathy'],3.5,real,real,2020-12-30,dailybeast,covid
"""This Is How Black People Get Killed"": Dr. Susan Moore Dies of COVID After Decrying Racist Care","[' dr. susan moore died of covid after complaining about racism during covid care', ""some races don't get good medical care"", 'some races enjoy privilege']","['feel shocked', 'feel sympathetic', 'feel angry']","[""know why some don't get equal care"", 'send well wishes', 'fact check this']",3.0,disagreement,real,2020-12-30,democracynow,covid
"UK coronavirus deaths surge by almost 1,000 as cases up by more than 50,000 for second day","['infection numbers are going up in uk', 'pandemic deaths are rising rapidly']","['feel scared', 'feel worried']","['check numbers in their own area', 'know more']",4.5,real,real,2020-12-30,eveningstandard,covid
Israel begins coronavirus vaccine trials,"['countries are actively working on covid vaccine.', 'more vaccines might be available soon', 'there could be vaccines available in this country soon', 'people in different countries could soon be safe from covid']","['feel happy', 'feel optimistic']","['see israel succeed', 'get vaccine']",3.0,real,real,2020-11-01,france24,covid
Coronavirus Maps: How Severe Is Your State's Outbreak?,"['the map will show statistics for each state', ""people can compare their state to other state's covid severity"", 'some states have covid outbreaks']",['feel curious'],['look at the map'],4.0,real,real,2020-11-03,npr,covid
Nicola Sturgeon confirms 28 Covid-19 deaths in Scotland amid 999 new cases,"['covid is causing the deaths of people in this location', 'covid is spreading through the area and killing people']",['feel concerned'],['stay informed about the spread of covid'],3.5,real,real,2020-11-03,thedailyrecord,covid
UK sees highest daily Covid deaths since early May,"[""people aren't safe to gather together in crowds"", 'covid is killing more people now than it ever has', 'covid is rapidly spreading through the population']",['feel afraid'],['stay inside away from crowds'],3.5,real,real,2020-11-04,channel4uk,covid
The Latest: Danes take action after virus mutation in minks,"['people are handling the mink infections seriously', 'covid-19 is mutating and new variations of the virus are forming in some regions', 'this government is working on solutions for covid']","['feel relief', 'feel scared']","['learn about the minks', 'learn more about virus variations']",4.5,real,real,2020-11-05,charlotteobserver,covid
"In Spain, coronavirus puts the poor at the back of the line","['the disease is having a major impact on the poor and low income groups.', 'the poor will likely have higher rates of infection and death', 'the poor are getting treated unfairly', 'people in poverty will not get the best treatments']","['feel disheartened', 'feel upset']","['promote equality', 'find a way to change this']",4.0,real,real,2020-11-05,charlotteobserver,covid
Coronavirus in Illinois updates: Here's what happened Nov. 3 with COVID-19 in the Chicago area,"['coronavirus is still an issue', 'people can find updates for november third covid news here']",['feel curious'],['talk to a friend about it'],3.5,real,real,2020-11-04,chicagotribune,covid
25 Days That Changed the World: How Covid-19 Slipped China's Grasp,"['the government could have stopped the entire pandemic if they had acted in time', ""people in that country didn't respond well and they let covid escape into the world""]",['feel angry'],['blame china'],2.0,disagreement,real,2020-12-30,thenewyorktimes,covid
Pandemic isolation has been brutal for schools. The best idea for 2021 is the exact opposite.,"['the government should send kids and teachers back to schools', 'schools should be reopened and closing them was harmful', 'it will be okay to go back to school again', ""people won't be harmed by schools going back to normal""]","['feel angry', 'feel relieved']","['reopen schools now', 'get back to normal']",2.5,disagreement,real,2020-12-30,theseattletimes,covid
Britain approves Oxford/AstraZeneca COVID-19 vaccine,"['governments can be trusted in vaccination approvals', 'people all over the world are getting vaccinated', 'this country has another vaccine available for covid', 'the vaccine is effective']","['feel hopeful', 'feel relief']","['get vaccinated', 'see people get vaccinated']",4.5,real,real,2020-12-30,upi,covid
Browns place three players on COVID-19 list; Rams add Cooper Kupp to list,"['more football players have tested positive for covid', 'covid is spreading through the sports population']",['feel unsurprised'],['get things back to normal soon'],2.0,real,real,2020-12-29,upi,covid
Dr. Drew Pinsky tests positive for COVID-19 months after apologizing for downplaying the virus,"['people who say covid is no big deal can still get it', 'covid is harmful to people']",['feel annoyed'],['judge him'],3.5,real,real,2020-12-30,usatoday,covid
"This is what more than 330,000 coronavirus deaths look like","['covid is having a huge impact on our society', 'many people have died from the disease']","['feel angry', 'feel sad']","['wear a mask', 'get vaccinated']",3.0,real,real,2020-12-30,washingtonpost,covid
Warp Speed official says vaccine rollout has fallen short of goal,"['vaccines may not be available for people as expected', 'the lockdowns may continue longer than expected', 'the vaccine development effort was not as successful as the hype around it would suggest it would be.', ""society won't get vaccinated as quickly as expected""]","['feel disappointed', 'feel irritated']","['see biden do things right', 'know why it fell below expectations']",4.5,real,real,2020-12-30,cbsnews,covid
China clamps down in hidden hunt for coronavirus origins,"['transmission may have started because of this country', ""this country's government is trying to prevent others from seeing information related to covid origins."", 'chinese government is responsible for releasing this virus.']","['feel curious', 'feel suspicious']","['know if china has something to do with this pandemic', 'not trust china']",3.0,real,real,2020-12-30,charlotteobserver,covid
"Illinois reports 126,211 COVID-19 vaccinations administered throughout the state","['the state leaders are making reasonably good progress with their vaccination program.', 'people in this state feel comfortable getting the vaccine', 'many people are getting vaccinated', 'the vaccines are safe']","['feel encouraged', 'feel optimistic']","['consider getting a vaccine', 'see more progress in the vaccination effort']",4.0,real,real,2020-12-31,chicagotribune,covid
Tuesday's coronavirus update,['unknown intent'],['feel interested'],['take steps to learn about covid'],3.5,real,real,2020-11-03,thedailyrecord,covid
New documentary explains how lockdowns and contact tracing don't stop the coronavirus and are a complete waste of energy,"['quarantines are uneffective', 'we are all being lied to about prevention policies']","['feel misled', 'feel worried']","['no longer social distance', 'seek the truth']",2.5,misinfo,misinfo,2020-11-03,thedcclothesline,covid
U.K. and Germany bank on rapid testing as anti-COVID tactics evolve,"['new tests are being developed', 'governments are ramping up their capacity of testing', 'government learned a lesson from covid pandemic']",['feel glad'],['support government efforts'],2.0,real,real,2020-11-03,cbsnews,covid
"ESPN's Kirk Herbstreit tests positive for COVID-19, will work College GameDay, Sugar Bowl from home",['unknown intent'],['feel worried'],['take covid-19 prevention protocols more serious'],4.0,real,real,2020-12-30,usatoday,covid
