post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
"REMINDER: femoids would rather fuck ABUSIVE CHADS than an incel
But don't forget that your personality is the problem.","[""assault victims"", ""women""]",are femoids,baseline,sbic,femoids,flan-t5-base,Femoids would rather fuck abusive chads than an incel,text-davinci-001,"The stereotype that this sentence communicates is that group members are aggressive, aggressive, and aggressive",text-ada-001,"[""trivializes harm to victims"", ""women are hypocritical"", ""women don't deserve to be called women"", ""women only care about sex"", ""women would rather be with guys who are good-looking""]"
I don’t have anything against black people If I had money I’d buy one,"[""black folks""]",black folks aren't people,human,sbic,The stereotype communicated by this sentence is that black people are lazy and unproductive,text-curie-001,black folks can be purchased,human,black people deserve to be slaves.,human,"[""black folks are slaves"", ""black folks aren't people"", ""black folks can be purchased"", ""black folks deserve to be purchased"", ""black people are property."", ""black people deserve to be slaves.""]"
"This is the only place in the world where Asians call themselves chinks and Indians call themselves currycels
Wow.","[""asian folks, Indian folks"", ""asian folks, Indians""]",The stereotype that this sentence communicates is that Asians are different from other groups and that they like to eat curry,text-babbage-001,sbic,"Asians are stereotyped as using the derogatory term ""chinks"" and Indians are stereotyped as being obsessed with curry",chatgpt,"The stereotype that this sentence communicates is that Asians are lazy and thie-""India is currycels",text-ada-001,Asians are chinks and Indians are currycels,text-davinci-001,"[""asian people are chinks"", ""asians are chinks"", ""asians have chink eyes?"", ""indian people eat curry"", ""indians are currycels"", ""indians live on curry?""]"
What's better than a gold medal at the Paralympics? Legs,"[""physically disabled folks""]",There is no single answer to this question as it depends on the individual and their specific Paralympic sport,text-babbage-001,sbic,disabled,flan-ul2,This sentence communicates the stereotype that disabled people are less than able-bodied people,text-davinci-002,The stereotype communicated by this sentence is that people with disabilities are not as capable as people without disabilities,text-curie-001,"[""physically disabled are inferior"", ""physically disabled folks are unhappy."", ""physically disabled folks can't lead fulfilling lives."", ""the accomplishments of physically disabled don't matter"", ""trivializes disability""]"
What do you call the last virgin in Afghanistan? The fastest goat in the country,"[""Afghan people"", ""afghan folks"", ""women""]",The fastest goat in Afghanistan is the one that can run the fastest,text-babbage-001,sbic,This sentence communicates the stereotype that Afghan men engage in bestiality and view women as objects to be possessed and used for their own pleasure,chatgpt,The last virgin in Afghanistan is the fastest goat in the country,text-ada-001,"The stereotype that this sentence communicates is that people from Afghanistan are all Muslims, and that Muslims are all virgins",text-davinci-001,"[""afghan folks are immoral"", ""afghan folks have sex with animals"", ""afghans are like animals"", ""afghans practise beastiality"", ""are overweight"", ""no one wants them""]"
"""most ugly men are ugly on the inside too""","[""men"", ""ugly folks""]",ugly,flan-ul2,sbic,ugly men are horrible inside,human,This sentence communicates the stereotype that ugly men are also ugly on the inside,text-davinci-002,The stereotype communicated is that men who are physically unattractive are also morally unattractive,text-davinci-003,"[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]"
"Compare your ideal woman to a drink, and then to food Joe says red wine and steak. Bob says coffee and blue berries. Joe asks how that is an ideal woman, Bob says “black and blue”","[""assault victims"", ""women""]",Joe says red wine and steak,text-babbage-001,sbic,[GROUP] are a group of people.,flan-ul2,This sentence communicates the stereotype that men are only interested in women who are physically attractive,text-davinci-002,The stereotype communicated by this sentence is that men prefer women who are more physically attractive than women who are more intelligent,text-curie-001,"[""it's ok to beat women"", ""trivializes harm to victims"", ""women are objects"", ""women are worth less than men"", ""women should be beaten""]"
How are the Twin Towers similar to a lasagna? They both have ground meat at the bottom,"[""terrorism victims""]",[GROUP] are a group of people,flan-t5-xl,sbic,are a slur,baseline,a group of people,flan-t5-small,The stereotype that this sentence communicates is that Italians are lazy,text-davinci-002,"[""trivializes tragedies""]"
Them women at the bar @ #happyhour are there for your pleasure them old hoes be pure #savages &#128514;&#128514;&#128514;,"[""women""]",women are savages,flan-t5-xxl,sbic,women are sexual objects,human,is promiscuous,human,are all hoes,human,"[""are all hoes"", ""is promiscuous"", ""women are sexual objects"", ""women exist to pleasure males""]"
"Schools in the hood be like 25 students in a club, 90% be from the same dad.","[""black folks""]",This sentence communicates the stereotype that schools in poor neighborhoods are overcrowded and that most of the students are from the same father,text-davinci-002,sbic,a group of 25 students in a club,flan-t5-small,students,flan-t5-base,are inferior,baseline,"[""black dads are deadbeats"", ""black families are broken"", ""black men have a lot of kids"", ""black people are ghetto"", ""black people have lots of children out of wedlock"", ""black people have lots of different sexual partners and have kids with them""]"
What do brick sidewalks and fat women have in common They both get laid by mexicans,"[""latino/latina folks"", ""overweight/fat folks"", ""women""]",fat women,flan-t5-base,sbic,The stereotype is that brick sidewalks and fat women are both laid by Mexicans,text-davinci-002,Mexicans are promiscuous,flan-t5-xxl,brick sidewalks and fat women have in common,flan-t5-small,"[""mexican's are only good for hard labor"", ""mexican's only do work that pays under the table"", ""obese people are less"", ""women are as fat as sidewalks"", ""women are for walking all over"", ""women are sex objects"", ""women hold no value""]"
What’s black and spends most it’s life in jail? A black person,"[""black folks""]",are in jail,human,sbic,[GROUP] are a group of people.,flan-t5-xl,black people are criminals,flan-t5-xxl,The stereotype communicated is that black people are disproportionately incarcerated,text-davinci-003,"[""are in jail"", ""black folks are criminals"", ""black folks end up in prison"", ""black people are criminals"", ""black people should be jailed""]"
Why didn't the black man cross the road Because he couldn't get out of my basement,"[""black folks""]",black folks are poor,human,sbic,The stereotype communicated by this sentence is that black people are inferior to white people and are not capable of doing things on their own,text-curie-001,black people are lazy,human,keeping a black person as their slave,human,"[""black folks are lazy"", ""black folks are poor"", ""black people are lazy"", ""black people belong in basements"", ""blacks should remain slaves"", ""keeping a black person as their slave""]"
I asked a Jewish girl for her number.. And she rolled up her sleeve,"[""jewish folks""]",jewish folks were rounded up in concentration camps,human,sbic,jews are marked,human,Jewish,flan-t5-large,Jewish people are stereotypically associated with the Holocaust and the identification tattoos given to concentration camp prisoners,chatgpt,"[""all jewish people have id number tattoos"", ""jewish folks were rounded up in concentration camps"", ""jews are marked"", ""jews had numbers tattooed on their arms"", ""jews were marked and branded with numbers in camps""]"
