Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
"The implied message of the headline is ""Taking Action on Climate Change""",unknown intent,,text-davinci-003,human,,mrf,Biden announces key members of climate team,real,['unknown intent'],,
Testing for coronavirus is important,blood tests for coronavirus could be used for confirming positive cases.,'the coronavirus is a disease that can be identified with a PCR test',text-davinci-003,human,baseline,mrf,"It is possible to identify the coronavirus not only with a PCR test, but also with a blood test, and that this method is used in multiple countries",misinfo,"['blood tests for coronavirus could be used for confirming positive cases.', 'multiple testing methods exist', 'the blood test may be preferable to the pcr test', 'there may be more tests available than many people think']",,
Roberto Petrella's claims about COVID-19 tests and vaccines should be taken seriously,vaccines are not useful,'i'm not a doctor',text-davinci-003,human,baseline,mrf,Italian MD Roberto Petrella's multiple claims about COVID-19 tests and vaccines,misinfo,"['vaccines are not useful', 'covid-19 tests are not useful']",Italian MD makes controversial claims about COVID-19,chatgpt
"The implied message is: ""Climate change is real and urgent",there is increase in natural disasters,'2020 was a stormy,text-davinci-003,human,baseline,mrf,"2020 was a stormy, fiery, record-breaking year when climate disasters wouldn't stop",real,['there is increase in natural disasters'],,
we have to do more for the climate,'restore' the climate is a 'climate change',"The implied message of the headline is ""We must go beyond net-zero to restore the climate",human,baseline,text-davinci-003,mrf,Meet 'climate restoration'  What if net-zero isn't enough? Inside the push to 'restore' the climate  Seek pre-industrial CO2 levels,misinfo,['we have to do more for the climate'],,
"The implied message is ""International Support for COVID Relief""",the health agencies should help more in the pandemic.,'the world and the world will give 1.7 crore as COVID relief fund',text-davinci-003,human,baseline,mrf,WHO and UN will give 1.7 crore as COVID relief fund,misinfo,['the health agencies should help more in the pandemic.'],,
Some vaccines are better than others,flu vaccine causes you to be more susceptible to covid-19,'the number of COVID-19 deaths is higher in regions where people were previously vaccinated against influenza',text-davinci-003,human,baseline,mrf,"The number of COVID-19 deaths is higher in regions, where people were previously vaccinated against influenza.",misinfo,"['flu vaccine causes you to be more susceptible to covid-19', 'flu shots may make you more likely to get covid', 'getting a flu shot makes you statistically more likely to get coronavirus.']",,
"""Climate action is essential",his opponent was less pro environment than he want,"'biden's win was 'crucial' for climate change,' 'now what?'",text-davinci-003,human,baseline,mrf,"NBC News: ""Environmentalists say Biden's win was 'crucial' for climate progress. Now what?""",misinfo,"['his opponent was less pro environment than he want', 'us governement will take initiatives to save environment.', 'climate change is a serious issue that needs addressing']",,
lidocaine is effective against covid-19,No evidence of effectiveness,'lidocaine is effective in the treatment of COVID-19',human,text-davinci-003,baseline,mrf,Lidocaine is effective in the treatment of COVID-19.,misinfo,['lidocaine is effective against covid-19'],,
the president desires to take climate change action in a different direction than the previous administration,"The implied message is ""A Change is Coming",'biden is a 'biden'',human,text-davinci-003,baseline,mrf,Biden Poised to Reset Country's Course on Climate Change,real,"['the president desires to take climate change action in a different direction than the previous administration', 'biden is working actively']",,
the covid-19 vaccines are not actually safe.,Misleading and false,,human,chatgpt,,mrf,COVID-19 Vaccine destroys the immune system,misinfo,"['the covid-19 vaccines are not actually safe.', 'the covid-19 vaccine has not been properly tested.']",,
"The implied message is ""Beware of Big Tech",the government wants to microchip everyone via vaccines,'the morgans and the rockefellers allocated millions of dollars to finance the coronavirus vaccine',text-davinci-003,human,baseline,mrf,"American professor and virologist Robert F. Garry notes that 5G high-frequency towers were installed to control humans implanted with microchips, whereas the Masons and the Rockefellers allocated millions of U.S. dollars to finance the coronavirus vaccine in order to implant microchips in humans and control them through special computers and 5G technology.",misinfo,"['the government wants to microchip everyone via vaccines', 'rich and powerful people are trying to control the population', '5g technology is a trojan horse being created in order to control mankind.', 'covid vaccines are related to 5g and microchips', '5g and implanted microchips are being used to create the covid virus and have vaccines implant chips', '5g technology is a threat to humans.', 'american professor and virologist robert f. garry notes that 5g high-frequency towers were installed to control humans implanted with microchips', 'covid vaccines are implanting chips into people']",,
climate change needs to be addressed soon.,Climate crisis is urgent,,human,chatgpt,,mrf,"World is running out of time on climate, experts warn",real,['climate change needs to be addressed soon.'],,
government orchestrated covid-19,"The implied message is ""Take precautions against the virus",'the aquifer is contaminated with a virus',human,text-davinci-003,baseline,mrf,Coronavirus (America).  A capsule found in an aquifer near the epidemic site,misinfo,"['government orchestrated covid-19', 'covid-19 was created', 'government is failing to recognize an attack.', 'the pandemic is actually a biological attack.']",,
"there will be more than 50,000 deaths in india by march",'the world is in danger',Take immediate action to prevent further spread,human,baseline,text-davinci-003,mrf,"WHO and ICMR have issued a warning. It claims that WHO and ICMR warn that India is all set to enter the third stage transmission of the coronavirus and if left unchecked, the total death count by the coronavirus outbreak in India could reach the number of 50,000 by March.",misinfo,"['there will be more than 50,000 deaths in india by march', 'who issued a warning about 50,000 deaths in india']",,
